SCRAPING TIMING | stage=consolidation | products=1 | seconds=0.000
SCRAPING TIMING | stage=images | products=1 | seconds=0.000
SCRAPING TIMING | stage=mapping | products=1 | seconds=0.000
SCRAPING TIMING | stage=catalog_sync | products=1 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=1 | seconds=0.003
SCRAPING TIMING | category=categoria | products=2 | seconds=0.000
SCRAPING TIMING | stage=persistence | products=2 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=2 | seconds=0.000
SCRAPING TIMING | stage=run_start | categories=2
SCRAPING TIMING | stage=run_total | categories=2 | seconds=0.001
SCRAPING TIMING | category=Jarros | products=1 | seconds=0.000
SCRAPING TIMING | category=Promocionales | products=1 | seconds=0.000
SCRAPING TIMING | stage=category_extraction | categories=2 | products=2 | seconds=0.003
SCRAPING TIMING | stage=consolidation | products=1 | seconds=0.000
SCRAPING TIMING | stage=images | products=1 | seconds=0.000
SCRAPING TIMING | stage=mapping | products=1 | seconds=0.000
SCRAPING TIMING | stage=catalog_sync | products=1 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=1 | seconds=0.003
SCRAPING TIMING | category=categoria | products=2 | seconds=0.000
SCRAPING TIMING | stage=persistence | products=2 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=2 | seconds=0.000
SCRAPING TIMING | stage=run_start | categories=2
SCRAPING TIMING | stage=run_total | categories=2 | seconds=0.001
SCRAPING TIMING | stage=category_discovery | categories=24 | seconds=2.028
SCRAPING TIMING | stage=run_start | categories=24
SCRAPING TIMING | category=Articulos De Oficina | products=12 | seconds=13.825
SCRAPING TIMING | category=Articulos De Playa | products=5 | seconds=10.487
SCRAPING TIMING | category=Articulos De Antiestres | products=25 | seconds=28.063
SCRAPING TIMING | category=Articulos De Escritorio | products=25 | seconds=28.789
SCRAPING TIMING | category=Bolsas Mochilas | products=3 | seconds=6.910
SCRAPING TIMING | category=Articulos Personales | products=17 | seconds=24.855
SCRAPING TIMING | category=Enmicadoras Laminadoras | products=9 | seconds=15.189
SCRAPING TIMING | category=Cocina Mesa Y Hogar | products=18 | seconds=21.383
SCRAPING TIMING | category=Estuches | products=8 | seconds=11.391
SCRAPING TIMING | category=Impresoras Y Consumible Fotograficas Termicas | products=14 | seconds=16.746
SCRAPING TIMING | category=Kits De Herramientas | products=2 | seconds=7.542
SCRAPING TIMING | category=Insumos De Sublimacion | products=25 | seconds=27.500
SCRAPING TIMING | category=Jarros Mug | products=19 | seconds=22.148
SCRAPING TIMING | category=Lapiceros Ecologicos | products=4 | seconds=8.373
SCRAPING TIMING | category=Lapiceros Metalicos | products=10 | seconds=12.499
SCRAPING TIMING | category=Maquinas De Sublimacion | products=25 | seconds=27.193
SCRAPING TIMING | category=Llaveros Y Accesorios | products=25 | seconds=27.910
SCRAPING TIMING | category=Micas Para Enmicados | products=25 | seconds=23.711
SCRAPING TIMING | category=Plotters De Corte | products=15 | seconds=20.206
SCRAPING TIMING | category=Papeleria Grafipapel | products=23 | seconds=30.091
SCRAPING TIMING | category=Papeles Fotograficos Koala Paper | products=25 | seconds=30.497
SCRAPING TIMING | category=Porta Tacos Post It | products=15 | seconds=17.826
SCRAPING TIMING | category=Tecnologia Y Accesorios | products=13 | seconds=13.506
SCRAPING TIMING | category=Resaltadores Publicitarios | products=21 | seconds=20.371
SCRAPING TIMING | stage=category_extraction | categories=24 | products=383 | seconds=160.500
SCRAPING TIMING | stage=detail_cache | requests=381 | cache_hits=2 | cache_size=381
SCRAPING TIMING | stage=consolidation | products=357 | seconds=0.000
SCRAPING TIMING | stage=images | products=357 | seconds=0.627
SCRAPING TIMING | stage=mapping | products=357 | seconds=0.006
SCRAPING TIMING | stage=catalog_sync | products=357 | seconds=0.011
SCRAPING TIMING | stage=sync_total | products=357 | seconds=0.646
SCRAPING TIMING | stage=run_total | categories=24 | seconds=161.149
SCRAPING TIMING | category=Jarros | products=1 | seconds=0.000
SCRAPING TIMING | category=Promocionales | products=1 | seconds=0.000
SCRAPING TIMING | stage=category_extraction | categories=2 | products=2 | seconds=0.005
SCRAPING TIMING | stage=consolidation | products=1 | seconds=0.000
SCRAPING TIMING | stage=images | products=1 | seconds=0.000
SCRAPING TIMING | stage=mapping | products=1 | seconds=0.000
SCRAPING TIMING | stage=catalog_sync | products=1 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=1 | seconds=0.004
SCRAPING TIMING | category=categoria | products=2 | seconds=0.000
SCRAPING TIMING | stage=persistence | products=2 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=2 | seconds=0.000
SCRAPING TIMING | stage=run_start | categories=2
SCRAPING TIMING | stage=run_total | categories=2 | seconds=0.001
SCRAPING TIMING | stage=category_discovery | categories=24 | seconds=1.839
SCRAPING TIMING | stage=run_start | categories=24
SCRAPING TIMING | category=Articulos De Oficina | products=12 | seconds=13.873
SCRAPING TIMING | category=Articulos De Playa | products=5 | seconds=11.527
SCRAPING TIMING | category=Articulos De Antiestres | products=25 | seconds=28.781
SCRAPING TIMING | category=Articulos De Escritorio | products=25 | seconds=29.419
SCRAPING TIMING | category=Bolsas Mochilas | products=3 | seconds=7.533
SCRAPING TIMING | category=Articulos Personales | products=17 | seconds=26.059
SCRAPING TIMING | category=Enmicadoras Laminadoras | products=9 | seconds=15.491
SCRAPING TIMING | category=Cocina Mesa Y Hogar | products=18 | seconds=22.475
SCRAPING TIMING | category=Estuches | products=8 | seconds=10.745
SCRAPING TIMING | category=Impresoras Y Consumible Fotograficas Termicas | products=14 | seconds=14.322
SCRAPING TIMING | category=Kits De Herramientas | products=2 | seconds=7.690
SCRAPING TIMING | category=Insumos De Sublimacion | products=25 | seconds=26.008
SCRAPING TIMING | category=Lapiceros Ecologicos | products=4 | seconds=10.379
SCRAPING TIMING | category=Jarros Mug | products=19 | seconds=23.689
SCRAPING TIMING | category=Lapiceros Metalicos | products=10 | seconds=16.422
SCRAPING TIMING | category=Llaveros Y Accesorios | products=25 | seconds=28.603
SCRAPING TIMING | category=Maquinas De Sublimacion | products=25 | seconds=28.034
SCRAPING TIMING | category=Micas Para Enmicados | products=25 | seconds=26.047
SCRAPING TIMING | category=Plotters De Corte | products=15 | seconds=21.446
SCRAPING TIMING | category=Papeleria Grafipapel | products=23 | seconds=31.284
SCRAPING TIMING | category=Papeles Fotograficos Koala Paper | products=25 | seconds=31.850
SCRAPING TIMING | category=Porta Tacos Post It | products=15 | seconds=19.485
SCRAPING TIMING | category=Tecnologia Y Accesorios | products=13 | seconds=16.244
SCRAPING TIMING | category=Resaltadores Publicitarios | products=21 | seconds=21.684
SCRAPING TIMING | stage=category_extraction | categories=24 | products=383 | seconds=165.832
SCRAPING TIMING | stage=detail_cache | requests=381 | cache_hits=2 | cache_size=381
SCRAPING TIMING | stage=consolidation | products=357 | seconds=0.000
SCRAPING TIMING | stage=images | products=357 | seconds=0.625
SCRAPING TIMING | stage=mapping | products=357 | seconds=0.005
SCRAPING TIMING | stage=catalog_sync | products=357 | seconds=0.009
SCRAPING TIMING | stage=sync_total | products=357 | seconds=0.642
SCRAPING TIMING | stage=run_total | categories=24 | seconds=166.476
SCRAPING TIMING | category=Jarros | products=1 | seconds=0.000
SCRAPING TIMING | category=Promocionales | products=1 | seconds=0.000
SCRAPING TIMING | stage=category_extraction | categories=2 | products=2 | seconds=0.003
SCRAPING TIMING | stage=consolidation | products=1 | seconds=0.000
SCRAPING TIMING | stage=images | products=1 | seconds=0.000
SCRAPING TIMING | stage=mapping | products=1 | seconds=0.000
SCRAPING TIMING | stage=catalog_sync | products=1 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=1 | seconds=0.003
SCRAPING TIMING | category=categoria | products=2 | seconds=0.000
SCRAPING TIMING | stage=persistence | products=2 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=2 | seconds=0.000
SCRAPING TIMING | stage=run_start | categories=2
SCRAPING TIMING | stage=run_total | categories=2 | seconds=0.001
SCRAPING TIMING | stage=category_discovery | categories=24 | seconds=2.538
SCRAPING TIMING | stage=run_start | categories=24
